Station ID,Name,Latitude,Longitude,Number of Bikes Available,Station ID,Name,Category,Latitude,Longitude,Station ID,Name,Category,Latitude,Longitude,Rating
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,Anchor Bar,"['Bars', 'Chicken Wings', 'American (Traditional)']",43.25711,-79.86938,2.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,Earth to Table Bread Bar James,"['Salad', 'Pizza', 'Soup']",43.2573497323307,-79.8686394095421,4.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,Freshii,"['Salad', 'Vegetarian', 'Fast Food']",43.25711,-79.86938,1.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,Gino's Pizza,['Pizza'],43.25678,-79.86864,3.5
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,Hui Lau Shan,"['Desserts', 'Juice Bars & Smoothies']",43.2565164,-79.8680872,4.5
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,Kenzo,['Ramen'],43.256548097485,-79.8681968450546,4.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,Laura Secord,"['Ice Cream & Frozen Yogurt', 'Chocolatiers & Shops']",43.2571529,-79.8692434,1.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,National Pizza & Wings,"['Pizza', 'Chicken Wings']",43.25682,-79.86881,3.5
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Undergound,Night Club,43.256647,-79.864966,hub_435,iPho,['Vietnamese'],43.2571106,-79.8693771,4.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Al Centro,['Italian'],43.25584,-79.8686,3.5
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Anchor Bar,"['Bars', 'Chicken Wings', 'American (Traditional)']",43.25711,-79.86938,2.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Earth to Table Bread Bar James,"['Salad', 'Pizza', 'Soup']",43.2573497323307,-79.8686394095421,4.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Freshii,"['Salad', 'Vegetarian', 'Fast Food']",43.25711,-79.86938,1.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Gino's Pizza,['Pizza'],43.25678,-79.86864,3.5
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Hui Lau Shan,"['Desserts', 'Juice Bars & Smoothies']",43.2565164,-79.8680872,4.5
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Kenzo,['Ramen'],43.256548097485,-79.8681968450546,4.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,Laura Secord,"['Ice Cream & Frozen Yogurt', 'Chocolatiers & Shops']",43.2571529,-79.8692434,1.0
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,National Pizza & Wings,"['Pizza', 'Chicken Wings']",43.25682,-79.86881,3.5
hub_435,Gore Park,43.25631685939874,-79.86866354942322,7,hub_435,Zen Lounge,Lounge,43.253962,-79.867155,hub_435,iPho,['Vietnamese'],43.2571106,-79.8693771,4.0
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,B Me,Bar,43.259542,-79.868052,hub_436,Born and Raised,"['Seafood', 'American (Traditional)', 'Tapas Bars']",43.26235,-79.86626,3.5
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,B Me,Bar,43.259542,-79.868052,hub_436,Caro on James,"['Pizza', 'Italian']",43.262537,-79.86675,4.0
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,B Me,Bar,43.259542,-79.868052,hub_436,Charred Chicken,['Barbeque'],43.2627364,-79.8663839,4.0
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,B Me,Bar,43.259542,-79.868052,hub_436,Gate of India,"['Indian', 'Bangladeshi']",43.2618967,-79.866767,3.5
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2,hub_436,B Me,Bar,43.259542,-79.868052,hub_436,Granny's Place,"['Delis', 'Sandwiches']",43.26243,-79.8659,3.0
