Station ID,Name,Latitude,Longitude,Number of Bikes Available
hub_435,Gore Park,43.256316859398744,-79.86866354942322,7
hub_436,James North at Mulberry,43.26181945279216,-79.86674308776855,2
hub_527,Seedworks,43.25911119199103,-79.86361294984816,2
hub_530,Cootes at York and King,43.26558132306987,-79.94965553283691,11
hub_535,Osler at Grant,43.2595496051254,-79.9426434441838,1
hub_536,Main at Whitney,43.25205234935895,-79.93979036808014,6
hub_537,Osler at Main,43.2572539435115,-79.9342255404988,8
hub_538,Whitney at Lower Horning,43.2518522355378,-79.9354198942367,10
hub_539,Sanders at Binkley,43.25875372772543,-79.92979913949966,10
hub_540,Sanders at Hollywood,43.2599031676959,-79.9264810904732,15
hub_541,King at Cline,43.2605367847852,-79.9092948353051,7
hub_542,Sterling at Whitton,43.2622271626907,-79.9133658840373,9
hub_543,Sterling at Haddon,43.26202552179778,-79.91026729345322,8
hub_544,Westdale Library,43.262715994377196,-79.90359663963316,4
hub_545,Emerson at Whitney,43.2521423210113,-79.9222158171462,4
hub_546,Rail Trail at Emerson,43.2546745875963,-79.9208028150996,3
hub_547,Westdale Village,43.26201477888108,-79.90508794784544,0
hub_548,Rail Trail at Stroud,43.2535916384655,-79.9166152756283,11
hub_549,Main at Columbia College,43.2585671813327,-79.90785866975784,2
hub_550,Longwood at King,43.2630174571678,-79.9009418422827,6
hub_551,Longwood at Edgevale,43.2662112220324,-79.8993094512,11
hub_552,Chedoke Stairs,43.2460802627748,-79.90823779724,2
hub_553,Main at Longwood,43.25960441109783,-79.90210264921188,4
hub_554,Macklin at King,43.2621672804245,-79.8964982026467,4
hub_555,McMaster Innovation Park,43.25656885270854,-79.9011692404747,4
hub_556,Dundurn Stairs,43.2465214141618,-79.8947787566411,2
hub_557,Dundurn at Aberdeen,43.251458458948996,-79.89265590906143,5
hub_558,Dundurn St S,43.2548127612063,-79.8909067737901,9
hub_559,Main at Dundurn,43.25966301112219,-79.8892092704773,2
hub_560,King at Dundurn,43.26240933566922,-79.88798081874847,7
hub_562,Charlton at Locke,43.25332704523968,-79.886634349823,8
hub_563,Locke at Hunter,43.256556155396176,-79.88510146737099,3
hub_564,Locke at Napier,43.2628018805713,-79.8827367298478,4
hub_565,York at Inchbury,43.2659146108256,-79.8819495909127,7
hub_566,Aberdeen at Queen,43.2488085584277,-79.8836993988543,5
hub_567,Charlton at Queen,43.25200741706332,-79.88158643245697,8
hub_568,H.A.A.A. Park,43.2540651616154,-79.8819466027797,5
hub_569,Hunter at Hess,43.255383107655966,-79.87889617681503,13
hub_570,Queen at Peter,43.2618861338306,-79.877606006297,1
hub_571,Oxford at York,43.26456372689135,-79.8777937889099,4
hub_572,Durand Park,43.24978615747242,-79.87574994564056,6
hub_573,James S at Charlton,43.2496354495324,-79.8720555723035,4
hub_574,Bay at Bold,43.2538302267771,-79.8753935613187,5
hub_575,City Hall,43.2561324863605,-79.8744987564414,1
hub_576,Bay at York,43.25906138152248,-79.87338691949844,6
hub_577,Bay at Mulberry,43.263198441574474,-79.87180307507515,3
hub_578,Bay at Strachan,43.26785864558976,-79.8679232597351,0
hub_579,Bayfront Park,43.269288276229105,-79.87132698297499,14
hub_580,Ainslie at Emerson,43.2495181157076,-79.9234422627427,8
hub_581,Strachan at Mary,43.265938747249415,-79.86042380332947,4
hub_582,Hughson at Picton,43.2701169222876,-79.861626657542,4
hub_583,Discovery Drive,43.27606684636728,-79.86029773950577,9
hub_585,Eastwood Arena,43.271621271914,-79.856711442486,3
hub_586,Catharine at Young,43.2496648107707,-79.8677950761702,5
hub_587,Main at Macnab,43.25586951986928,-79.87145036458969,1
hub_588,Ferguson at Barton,43.262056982995,-79.8582423171631,3
hub_589,Ferrie at Furguson,43.266617945064255,-79.85489845275879,5
hub_590,Ferguson at Cannon,43.2587508364231,-79.8598228455297,2
hub_591,Ferguson at King William,43.2551792486624,-79.8614431097373,1
hub_593,Victoria at Barton,43.26124519046125,-79.853318631649,4
hub_594,Cannon at East,43.25729552525069,-79.85334813594818,2
hub_596,Wentworth Stairs,43.24487936776345,-79.85186353325844,3
hub_597,Stinson at Blythe,43.2480282225403,-79.8550984051804,0
hub_598,Hunter at Ferguson,43.251798383773966,-79.86318781971931,3
hub_599,Corktown Park,43.2492552510953,-79.8641461491451,10
hub_601,Stinson at West,43.2494985579078,-79.859726111821,1
