Station ID,Name,Category,LatitudeB,LongitudeB,Rating
hub_538,Lee's Take Out & Delivery Service,"['Chinese', 'Imported Food']",43.25267,-79.93885,2
hub_538,West End Diner,['Diners'],43.25276,-79.93857,4
hub_538,The Lighthouse Fish and Chips,['Fish & Chips'],43.2525237,-79.9392691,3.5
hub_538,Right Wingers,['Chicken Wings'],43.2521846,-79.9398027,4
hub_538,Baskin Robbins,"['Ice Cream & Frozen Yogurt', 'Custom Cakes']",43.2565794,-79.93496301,3.5
hub_538,Joya Sushi,"['Sushi Bars', 'Japanese', 'Korean']",43.25663138,-79.9345614,4
hub_538,Popeyes Louisiana Chicken,"['Fast Food', 'Chicken Wings']",43.2564189,-79.9358334,1
hub_538,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2
hub_538,Yukiguni Izakaya,"['Sushi Bars', 'Japanese']",43.25793,-79.93448,2
hub_538,Hazel Tea & Dessert House,"['Desserts', 'Bubble Tea']",43.25793,-79.9344799,4
hub_539,Mr  Gao,['Chinese'],43.25740112,-79.92817005,3.5
hub_539,Boston Pizza,"['Pizza', 'Italian', 'Chicken Wings']",43.25734918,-79.92774941,3.5
hub_539,Maccheroni Cucina Alfresco,['Italian'],43.2578,-79.9264199,4
hub_539,Tim Horton Donuts,['Coffee & Tea'],43.25782,-79.92567,2
hub_539,Pane Fresco,['Cafes'],43.2554932,-79.92884887,2
hub_539,Noodle Bar,"['Sushi Bars', 'Imported Food']",43.25544173,-79.92870029,2.5
hub_539,CoCo Fresh Tea & Juice,"['Bubble Tea', 'Juice Bars & Smoothies']",43.257849,-79.9252604,5
hub_539,Yukiguni Izakaya,"['Sushi Bars', 'Japanese']",43.25793,-79.93448,2
hub_539,Hazel Tea & Dessert House,"['Desserts', 'Bubble Tea']",43.25793,-79.9344799,4
hub_539,Joya Sushi,"['Sushi Bars', 'Japanese', 'Korean']",43.25663138,-79.9345614,4
hub_540,Maccheroni Cucina Alfresco,['Italian'],43.2578,-79.9264199,4
hub_540,Tim Horton Donuts,['Coffee & Tea'],43.25782,-79.92567,2
