Station ID,Average Distance
hub_1042,0.6204501086284764
hub_1063,0.41944891835823606
hub_1252,0.7864768217914786
hub_1253,0.749957587260665
hub_1287,0.3711589605851004
hub_1397,0.1961048033324302
hub_1468,0.49063244257734134
hub_2570,0.7634946009558893
hub_2868,0.21677042168814617
hub_2869,0.7026717716464318
hub_2915,0.7074928831357842
hub_2916,0.4236907195422825
hub_2917,0.4946773357825832
hub_2918,0.5983366059963355
hub_2919,0.4968035946543875
hub_2920,0.48766501494120507
hub_2921,0.6857157551388562
hub_2922,0.7298335217971685
hub_2923,0.7942716908485838
hub_2924,0.6932645908526047
hub_2925,0.5465961930509502
hub_2926,0.5805203582754436
hub_3885,0.0693743566653188
hub_4093,0.16235490174014455
hub_435,0.22052612616369824
hub_436,0.21011793916689375
hub_527,0.36659763935925516
hub_530,0.541846412290625
hub_5333,0.5671963090734801
hub_535,0.8389253189664257
hub_536,0.0802073358031701
hub_537,0.6561006015968653
hub_538,0.2984140067956559
hub_539,0.8826592091230805
hub_540,0.6627031250698545
hub_5402,0.4392390301997109
hub_541,0.6448444127054149
hub_542,0.6177185431693445
hub_5426,0.7126187733582003
hub_543,0.6675414912336527
hub_544,0.4381841759236925
hub_545,0.5694196711546405
hub_546,0.5456514465479247
hub_547,0.2969164003810247
hub_548,0.532950219846011
hub_549,0.5870361642477592
hub_550,0.6356721942139025
hub_551,0.6860776297337843
hub_553,0.5043938448280573
hub_554,0.7102393796936329
hub_555,0.7621900694437714
hub_556,0.7102089383465701
hub_557,0.3776660481164177
hub_558,0.5231999372492874
hub_559,0.8134835758245632
hub_560,0.8217027165717674
hub_562,0.7393356584170355
hub_563,0.533596209128783
hub_564,0.5130195472299913
hub_565,0.757991605354896
hub_566,0.7252786462455607
hub_567,0.7025697419010507
hub_568,0.5190501649054579
hub_569,0.3098719760651564
hub_570,0.3241249259488065
hub_5702,0.7934882632610533
hub_571,0.560781538910384
hub_572,0.5636094582530772
hub_573,0.35624618442290135
hub_574,0.4615085861529559
hub_575,0.30121163351899655
hub_576,0.23570945111012048
hub_577,0.4722306287454364
hub_578,0.6275981483246001
hub_579,0.8241537001639142
hub_5790,0.5184274180067219
hub_580,0.7847409817500489
hub_581,0.5819423453576297
hub_582,0.7108446326503722
hub_5827,0.21432831205644814
hub_583,0.4436151671133642
hub_5836,0.5680168009794195
hub_5837,0.6485356348513256
hub_5838,0.6198443887946452
hub_5845,0.22572036435280413
hub_5846,0.573819676147877
hub_585,0.4711889433556249
hub_586,0.3130456258200822
hub_587,0.29605051957448286
hub_588,0.5988107763674675
hub_589,0.8410761095110549
hub_590,0.5710818723107283
hub_5903,0.5512505235995833
hub_591,0.3061842461078693
hub_593,0.6828901894665638
hub_594,0.6089865499917514
hub_596,0.6894668651639243
hub_597,0.699331235353083
hub_598,0.3197457922908996
hub_599,0.469038091834566
hub_601,0.6247691344373161
hub_602,0.5451847470810451
hub_603,0.6032799704221811
hub_604,0.5805651911227956
hub_605,0.37980926096121964
hub_606,0.7632685139731368
hub_607,0.145788225763803
hub_608,0.2423949242893806
hub_609,0.2371068694494735
hub_610,0.5942618830177933
hub_611,0.5247617240614812
hub_612,0.5516814863945526
hub_613,0.7918044068794317
hub_614,0.8056942922780825
hub_6148,0.17170215753117177
hub_622,0.3968326793932818
hub_623,0.4291665695326288
hub_624,0.4713269749903889
hub_625,0.5395202244282986
hub_626,0.6885197244954178
hub_631,0.1879989658312711
hub_707,0.6860379121383371
hub_708,0.17654683421827516
hub_709,0.43184174978417034
hub_712,0.6493764774630761
hub_778,0.6306938333300262
hub_779,0.370103444366426
hub_780,0.1549651950586517
hub_802,0.10179607665857437
hub_830,0.8662267942416249
hub_866,0.14059922293779784
hub_867,0.09298228068522085
hub_894,0.6260866717817576
hub_903,0.16788321836248193
hub_904,0.2172842089050009
hub_905,0.5344085572866606
hub_921,0.7684172783145868
hub_924,0.1490420013520783
hub_945,0.6268156027123966
hub_959,0.45578997733168736
hub_960,0.7244659239998832
